time,name,value,status,warning_threshold,critical_threshold
8/31/2018 0:00,WINPRODWEB01,19.67,GREEN,60,85
8/31/2018 0:05,WINPRODWEB01,25.64,GREEN,60,85
8/31/2018 0:10,WINPRODWEB01,12.1,GREEN,60,85
8/31/2018 0:15,WINPRODWEB01,38.45,GREEN,60,85
8/31/2018 0:20,WINPRODWEB01,36.06,GREEN,60,85
8/31/2018 0:25,WINPRODWEB01,34.86,GREEN,60,85
8/31/2018 0:30,WINPRODWEB01,24.21,GREEN,60,85
8/31/2018 0:35,WINPRODWEB01,21.67,GREEN,60,85
8/31/2018 0:40,WINPRODWEB01,10.19,GREEN,60,85
8/31/2018 0:45,WINPRODWEB01,34.25,GREEN,60,85
8/31/2018 0:50,WINPRODWEB01,22.11,GREEN,60,85
8/31/2018 0:55,WINPRODWEB01,53.28,GREEN,60,85
8/31/2018 1:00,WINPRODWEB01,40.56,GREEN,60,85
8/31/2018 1:05,WINPRODWEB01,44.42,AMBER,60,85
8/31/2018 1:10,WINPRODWEB01,20.85,AMBER,60,85
8/31/2018 1:15,WINPRODWEB01,50.4,AMBER,60,85
8/31/2018 1:20,WINPRODWEB01,45.41,AMBER,60,85
8/31/2018 1:25,WINPRODWEB01,40.49,AMBER,60,85
8/31/2018 1:30,WINPRODWEB01,18.54,AMBER,60,85
8/31/2018 1:35,WINPRODWEB01,24.39,RED,60,85
8/31/2018 1:40,WINPRODWEB01,26.74,RED,60,85
8/31/2018 1:45,WINPRODWEB01,36.62,RED,60,85
8/31/2018 1:50,WINPRODWEB01,20.44,RED,60,85
8/31/2018 1:55,WINPRODWEB01,44.2,RED,60,85
8/31/2018 2:00,WINPRODWEB01,44.31,RED,60,85
8/31/2018 2:05,WINPRODWEB01,17.56,RED,60,85
8/31/2018 2:10,WINPRODWEB01,15.92,RED,60,85
8/31/2018 2:15,WINPRODWEB01,53.93,RED,60,85
8/31/2018 2:20,WINPRODWEB01,41.9,RED,60,85
8/31/2018 2:25,WINPRODWEB01,42.44,RED,60,85
8/31/2018 2:30,WINPRODWEB01,45.09,RED,60,85
8/31/2018 2:35,WINPRODWEB01,39.65,RED,60,85
8/31/2018 2:40,WINPRODWEB01,53.13,RED,60,85
8/31/2018 2:45,WINPRODWEB01,19.26,RED,60,85
8/31/2018 2:50,WINPRODWEB01,41.84,RED,60,85
8/31/2018 2:55,WINPRODWEB01,50.42,RED,60,85
8/31/2018 3:00,WINPRODWEB01,27.32,RED,60,85
8/31/2018 3:05,WINPRODWEB01,24.52,RED,60,85
8/31/2018 3:10,WINPRODWEB01,35.54,RED,60,85
8/31/2018 3:15,WINPRODWEB01,42.12,RED,60,85
8/31/2018 3:20,WINPRODWEB01,50.47,RED,60,85
8/31/2018 3:25,WINPRODWEB01,39.27,RED,60,85
8/31/2018 3:30,WINPRODWEB01,39.82,RED,60,85
8/31/2018 3:35,WINPRODWEB01,48.85,RED,60,85
8/31/2018 3:40,WINPRODWEB01,30.27,RED,60,85
8/31/2018 3:45,WINPRODWEB01,53.16,RED,60,85
8/31/2018 3:50,WINPRODWEB01,18.42,RED,60,85
8/31/2018 3:55,WINPRODWEB01,28.16,RED,60,85
8/31/2018 4:00,WINPRODWEB01,33.69,RED,60,85
8/31/2018 4:05,WINPRODWEB01,48.61,RED,60,85
8/31/2018 4:10,WINPRODWEB01,48.56,RED,60,85
8/31/2018 4:15,WINPRODWEB01,34.1,RED,60,85
8/31/2018 4:20,WINPRODWEB01,40.1,RED,60,85
8/31/2018 4:25,WINPRODWEB01,35.48,RED,60,85
8/31/2018 4:30,WINPRODWEB01,11.51,RED,60,85
8/31/2018 4:35,WINPRODWEB01,33,RED,60,85
8/31/2018 4:40,WINPRODWEB01,29.8,RED,60,85
8/31/2018 4:45,WINPRODWEB01,12.93,RED,60,85
8/31/2018 4:50,WINPRODWEB01,32.16,RED,60,85
8/31/2018 4:55,WINPRODWEB01,51.15,RED,60,85
8/31/2018 5:00,WINPRODWEB01,36.26,RED,60,85
8/31/2018 5:05,WINPRODWEB01,23.16,RED,60,85
8/31/2018 5:10,WINPRODWEB01,15.94,RED,60,85
8/31/2018 5:15,WINPRODWEB01,18.95,RED,60,85
8/31/2018 5:20,WINPRODWEB01,47.76,RED,60,85
8/31/2018 5:25,WINPRODWEB01,13.64,RED,60,85
8/31/2018 5:30,WINPRODWEB01,39.97,RED,60,85
8/31/2018 5:35,WINPRODWEB01,22.73,RED,60,85
8/31/2018 5:40,WINPRODWEB01,22.18,RED,60,85
8/31/2018 5:45,WINPRODWEB01,29.33,GREEN,60,85
